COUNTRY;YEAR;FISC_RED;MIN_WAGE;UNION_DENS;GDP_PC ;UNEMP;INFLATION;PALMA_RATIO;WEALTH_RICH1_PER;SHARE_POV
chl;2017;0,03;582.9;17.381;14879,90862;7,257;2,182718469;12,7;46,50%;0,36%
cze;2017;0,18;789.9;11.657;20913,19763;2,893;2,450533985;1,4;25,50%;0%
dnk;2017;0,19;´;66.737;57521,5515;5,833;1,14713217;2,4;21,20%;0,14%
est;2017;0,14;774.9;4.666;20851,52235;5,807;3,417235495;2,7;32,30%;0,27%
fin;2017;0,24; ;62.889;46085,01747;8,64;0,754015047;2,1;18,50%;0,07%
fra;2017;0,24;1745.6;8.996;38687,16264;9,409;1,032282751;2,5;25,70%;0,02%
deu;2017;0,21; ;16.68;59384,98621;3,781;1,509494851;2,9;27,80%;0,24%
grc;2017;0,21;1049.2;;18631,99301;21,413;1,12125452;2,7;23,30%;0,87%
hun;2017;0,19;834,00;;14621,2396;4,156;2,348242812;2,2;33,40%;0,61%
irl;2017;0,25;1584.1;24.148;72.499,33;6,713;0,362173038;2,3;25,00%;0,24%
isr;2017;0,1;1246.4;25.089;40.998;4,14;0,259414975;5,2;28,60%;0,64%
ita;2017;0,19;;33.228;32554,14668;11,211;1,226533166;3,6;22,10%;1,42%
jpn;2017;0,17;1267.3;17.153;38834,05293;2,822;0,484199796;4,2;24,80%;0,73%
kor;2017;0,06;1.363,00;12.436;31600,73587;3,653;1,944332308;;;
ltu;2017;0,14;766.9;7.726;16884,71003;7,073;3,722888623;3,1;23,80%;1,02%
lva;2017;0,13;676.1;11.504;15.132,50;8,715;2,930363124;2,9;29%;0,80%
mex;2017;0,01;226.7;12.5;9649,278168;3,419;6,04145724;18,4;47,90%;1,88%
nld;2017;0,15;1817.7;16.801;49513,68173;4,837;1,381458714;1,9;17,70%;0,19%
nor;2017;0,11;1727.2;18.46;42913,18696;4,736;1,850787675;1,7;24,30%;0,29%
nzl;2017;0,17;;49.98;76.131,84;4,164;1,875100596;2;23,00%;
pol;2017;0,17;1065.8;13.378;13.913,34;4,867;2,075935537;2,8;29,80%;0,35%
prt;2017;0,2;974.3;;21442,38428;8,869;1,368614116;3;26,10%;0,41%
slk;2017;0,16;703.8;11.413;17.645,53;8,142;1,311945882;1,6;16,90%;0,23%
svn;2017;0,21;1240.1;;23.303,08;6,564;1,429107433;1,7;23,30%;0,00%
esp;2017;0,18;1162.3;13.403;28367,93926;17,224;1,956076334;2,4;24,20%;0,68%
swe;2017;0,15;;60.78;53300,85873;6,718;1,794499047;1,7;27,00%;0,25%
stz;2017;0,09;3581.2;14.864;82254,37693;4,797;0,53378784;2;31,50%;0,00%
tky;2017;0,09;;8.561;10.695,55;10,919;11,14431108;4,8;33,70%;0,30%
usa;2017;0,12;1.257,00;10.307;60.322,26;4,355;2,130110004;5,4;35,30%;1,25%
aus;2023;0,12;2575.1;13.656;64820,91179;3,668;5,597014925;3,2;23,50%;0,50%
aut;2023;0,21;;26.243;56033,57379;5,264;7,81413417;2,1;30,40%;0,49%
can;2023;0,08;2218.7;29.387;53431,18571;5,415;3,879001598;3,4;24,30%;0,25%
chl;2023;0,04;841.4;17.094;17067,81362;9,013;7,581682514;12,2;43,50%;0,40%
cze;2023;0,18;1130.5;11.384;31591,17707;2,579;10,66126014;1,4;26,50%;0,06%
dnk;2023;0,18;;66.976;68453,87693;5,094;3,305178112;2,1;20,50%;0,15%
est;2023;0,15;1044.5;6.017;30133,30445;6,378;9,15922508;2,6;33,30%;0,31%
fin;2023;0,24;;58.825;52925,68976;7,151;6,250643222;2,1;18,20%;0,02%
fra;2023;0,22;2263.8; 8.89;44690,93454;7,335;4,878357265;2,6;27,30%;0,06%
deu;2023;0,2;;16.255;54343,22651;3,068;5,946436677;2,8;27,80%;0,24%
grc;2023;0,19;1543.4;;23400,72788;11,066;3,464801285;2,6;23,60%;0,57%
hun;2023;0,13;1195.2; 8.65;22141,86698;4,107;17,12496597;2,3;33,30%;0,40%
irl;2023;0,21;2.025,00;25.395;103887,8004;4,288;6,299424874;2,4;21,80%;0,06%
isr;2023;0,11;1485.1;;52642,42675;3,596;4,225352113;5,1;28,90%;0,24%
ita;2023;0,19;;32.497;39003,3161;7,627;5,622194422;3,8;22,10%;0,81%
jpn;2023;0,17;1708.6;16.802;33766,52683;2,6;3,268133659;3,8;24,80%;
kor;2023;0,09;2156.9;12.37 ;33121,37129;2,675;3,59745625;;;
ltu;2023;0,15;1487.7;7.358;27786,00578;6,841;9,117319624;2,6;23,1;0,25%
lva;2023;0,14;1098.8; 10.65;22502,84299;6,465;8,938046233;2,7;28,90%;0,40%
mex;2023;0,02;503.5;12.4;13790,02434;2,765;5,527960873;13,8;45,30%;1,18%
nld;2023;0,15;2480.3;15.387;64572,00596;3,537;3,838393543;1,7;13,90%;0,07%
nor;2023;0,13;2635.3;18.895;48280,81142;3,729;5,73316283;1,9;24,40%;0,16%
nzl;2023;0,17;;50.404;87925,09442;3,572;5,517849871;2,6;23,20%;
pol;2023;0,17;1708.7;12.707;22056,66617;2,743;11,5289128;3;30,20%;0,11%
prt;2023;0,18;1486.9;;27331,20949;6,509;4,311281919;2,7;25,10%;0,23%
svk;2023;0,16;1214.2;11.084;24491,37719;5,84;10,53194766;1,8;17,30%;0,10%
svn;2023;0,19;1953.9;;32610,11092;3,652;7,446877174;1,8;23,30%;0,00%
esp;2023;0,16;2012.1;12.449;33509,0128;12,179;3,532361335;2,2;23,80%;0,56%
swe;2023;0,15;;65.213;55516,83648;7,611;8,548624897;1,8;27,60%;0,63%
stz;2023;0,09;3581.2;14.427;99564,71003;4,043;2,13540088;1,9;31,40%;0,04%
tky;2023;0,1;;9.853;13105,65857;9,388;53,85940876;5,6;42,00%;0,44%
usa;2023;0,12;1.257,00;10.293;82769,41221;3,638;4,116338384;5,5;35,50%;1,25%
